,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,ratings
The Kill,0lP4HYLmvowOKdsQ7CVkuq,0.0014,0.179,231533,0.912,0.000294,4,0.582,-3.881,0,0.0791,182.99,0.289,9
Numb,2nLtzopw4rPReszdYBJU6h,0.0046,0.496,185587,0.863,0.0,9,0.639,-4.153,1,0.0381,110.018,0.243,9
In the End,60a0Rd6pjrkxjPbaKzXjfq,0.00958,0.556,216880,0.864,0.0,3,0.209,-5.87,0,0.0584,105.143,0.4,10
Somewhere I Belong,3fjmSxt0PskST13CSdBUFx,0.00038,0.451,213933,0.951,2.39e-06,1,0.261,-3.754,1,0.0645,162.065,0.442,10
BURN IT DOWN,7oVEtyuv9NBmnytsCIsY5I,0.0143,0.585,230253,0.972,0.0,9,0.0707,-4.45,0,0.0534,110.006,0.585,9
CASTLE OF GLASS,1r1fPuhj9H4VdXr7OK6FL5,0.0686,0.615,205400,0.911,0.00188,1,0.0908,-3.584,0,0.0278,108.0,0.685,10
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,0.00721,0.331,235893,0.943,2.06e-06,4,0.242,-3.188,0,0.0698,94.612,0.296,10
Breaking the Habit,3dxiWIBVJRlqh9xk144rf4,0.108,0.579,196907,0.849,0.0,4,0.0909,-5.218,0,0.0303,100.021,0.581,10
Faint,4Yf5bqU3NK4kNOypcrLYwU,0.111,0.554,162600,0.978,0.0,4,0.0731,-3.554,1,0.131,135.095,0.594,8
LOST IN THE ECHO,2oNYsdCasRRlz1shXFAz7D,0.0154,0.546,205120,0.98,0.0,9,0.31,-3.02,0,0.0619,120.037,0.478,8
New Divide,5Yg45DuQgNc1dRw11pixQi,0.000235,0.492,268613,0.808,0.0,5,0.0983,-3.365,0,0.0362,117.972,0.38,9
Holiday / Boulevard of Broken Dreams,0MsrWnxQZxPAcov7c74sSo,0.000659,0.29,493400,0.827,2.55e-06,8,0.301,-3.451,1,0.0362,167.086,0.45,10
How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,0.00135,0.446,223840,0.764,0.0,10,0.099,-5.042,1,0.033,172.094,0.543,10
Psychosocial,2MvIMgtWyK88OiPi0J8Dg3,0.00252,0.576,283400,0.989,0.0032,2,0.0243,-1.909,1,0.112,135.093,0.352,9
Crazy Train,7ACxUo21jtTHzy7ZEV56vU,0.408,0.454,293183,0.913,0.000271,9,0.248,-4.008,1,0.107,137.688,0.521,10
Master Of Puppets,2MuWTIM3b0YEAskbeeFE1i,0.000647,0.543,515387,0.836,0.431,4,0.153,-9.11,0,0.0353,105.173,0.56,9
Snuff,3RptaQ5Xb8WvtpItZ2f9Hi,0.012,0.544,276147,0.69,0.0095,6,0.0615,-5.723,0,0.0425,123.962,0.219,10
Pieces,1ibeKVCiXORhvUpMmtsQWq,0.00682,0.457,182040,0.83,0.00337,5,0.166,-5.262,1,0.0321,99.93,0.602,8
War of Change,1qUHD9oPIMFHKpR12NY2KC,0.00261,0.531,231665,0.887,0.000512,5,0.0657,-4.417,0,0.0329,104.055,0.626,9
Duality,61mWefnWQOLf90gepjOCb3,0.000237,0.354,252613,0.982,0.000294,4,0.204,-3.026,0,0.168,143.772,0.194,8
For the Glory of...,6J4VOoKhRZFNeWkVH0WTzH,2.8e-06,0.45,72493,0.892,0.883,8,0.0878,-5.099,1,0.0466,120.048,0.49,10
Throne,0M3adYbGtyRHACP86dey1H,0.000455,0.426,191520,0.888,0.0,0,0.306,-3.72,0,0.0987,144.111,0.387,9
Smells Like Teen Spirit,4CeeEOM32jQcH3eN9Q2dGj,2.55e-05,0.502,301920,0.912,0.000173,1,0.106,-4.556,1,0.0564,116.761,0.72,10
Paranoid (2009 - Remaster),3Jnxngdff0lVu2rza1GVx6,6.28e-05,0.423,167720,0.685,0.00642,4,0.133,-9.651,0,0.078,162.78,0.328,8
Delusions of Saviour,06WUUNf7q18NZfjIsQFsfa,0.000179,0.223,115413,0.805,0.814,8,0.0849,-8.969,1,0.037,168.165,0.25,10
You're Going Down,5FQXMRDSTkn9fowDJ3kZo8,0.0116,0.49,187347,0.833,0.000504,6,0.15,-5.899,1,0.0487,89.981,0.39,10
Bleed It Out,78gsvivelCP8Kh0tSRTy8D,0.0747,0.542,164760,0.932,0.0,4,0.613,-4.896,1,0.05,140.135,0.698,10
Still Waiting,0jqK7sGTLsHPkQrrcrGuKD,0.00105,0.431,158733,0.95,3.63e-05,7,0.272,-4.918,1,0.26,191.936,0.56,10
I Hate Everything About You,0M955bMOoilikPXwKLYpoi,0.00461,0.498,231480,0.83,0.0,6,0.139,-5.157,0,0.0421,89.342,0.453,9
Last Resort,5W8YXBz9MTIDyrpYaCg2Ky,0.000481,0.589,199907,0.89,0.00082,4,0.201,-3.719,0,0.0603,90.598,0.692,10
Before I Forget,6wqJeItl3Vc3az4ZicSQAB,0.0177,0.291,278600,0.974,5.44e-06,6,0.886,-2.997,0,0.171,134.724,0.348,9
One Step Closer,3K4HG9evC7dg3N0R9cYqk4,0.0014,0.492,157333,0.969,1.32e-06,9,0.0787,-4.419,1,0.0491,95.136,0.538,9
Animal I Have Become,56sk7jBpZV0CD31G9hEU3b,0.000684,0.553,231400,0.853,0.0,8,0.126,-3.668,1,0.0339,122.023,0.506,10
Unsainted,5mpUKTdskZea0gStWzeHUZ,0.000118,0.427,260773,0.946,0.0253,7,0.0604,-2.188,1,0.0469,101.305,0.237,7
Whispers in the Dark,6rSuL1ViLO7Aljn2WD09s4,0.000644,0.509,204347,0.938,0.00246,11,0.14,-3.883,0,0.0715,94.019,0.335,8
Papercut,1Vej0qeQ3ioKwpI6FUbRv1,0.00022,0.524,184867,0.939,0.0,9,0.623,-3.994,1,0.113,150.184,0.661,10
Wait and Bleed,2gscB6kDOmrv1P6qs2KXE3,0.00208,0.382,147840,0.996,0.0,7,0.417,-4.119,1,0.104,93.345,0.327,8
Painkiller,6OMO6WdRhSfjMPAiPT94wH,0.00021,0.376,179160,0.95,0.0,9,0.0377,-4.067,1,0.0641,178.018,0.438,9
Killpop,5s3l6YYtPlYWuYamHqgeY7,0.000311,0.306,225067,0.926,0.000644,1,0.0776,-2.754,0,0.0912,158.47,0.483,6
Chop Suey!,2DlHlPMa4M17kufBvI2lEN,0.000278,0.417,210240,0.934,0.0015,7,0.132,-3.908,0,0.119,127.066,0.287,9
Tears Don't Fall,5pKCDm2fw4k6D6C5Rk646C,0.000705,0.214,348387,0.931,3.09e-06,7,0.0797,-3.347,0,0.143,162.115,0.233,8
I Don't Love You,4RAOI1etsgbh5NP3T5R8rN,0.00837,0.289,238680,0.796,2.61e-05,0,0.202,-4.22,1,0.0494,169.835,0.33,8
21 Guns,3IHHqmfKJHyI0obINUdg1W,0.048,0.26,322040,0.719,0.0,5,0.454,-4.765,1,0.0364,159.072,0.419,7
Surrender the Night,6NDaxwtVhUHg49bTc99l2S,0.000234,0.491,207667,0.927,0.12,1,0.0422,-3.863,0,0.0559,137.023,0.241,7
The Diary of Jane - Single Version,0faXHILILebCGnJBPU6KJJ,7.13e-05,0.392,200547,0.964,0.0387,10,0.106,-4.441,0,0.0644,167.024,0.269,7
I'm Not Okay (I Promise),7lRlq939cDG4SzWOF4VAnd,0.00602,0.21,186480,0.94,0.0,9,0.269,-3.427,1,0.123,179.722,0.255,9
Drown,6o39Ln9118FKTMbM4BvcEy,0.000102,0.405,222093,0.94,2.79e-05,1,0.719,-3.103,0,0.0844,143.126,0.24,8
Attack,0lHSJ0ZP8uUPnJXhMdGjOK,0.00332,0.333,188187,0.877,0.00101,5,0.769,-1.894,0,0.0603,175.095,0.285,7
Hearts Burst into Fire,6skRokbpxb1OFXqxzpEQVi,0.000996,0.24,297947,0.968,0.000106,0,0.119,-3.669,0,0.109,89.686,0.119,7
Prayer Of The Refugee,2VGQ342iuqj6aSaYbyBQVJ,0.00131,0.198,199387,0.977,4.62e-05,3,0.23,-3.499,0,0.173,195.795,0.351,7
Disenchanted,6T7MAQCekVb3UnCykjX3BP,0.00218,0.343,295000,0.692,0.0,2,0.112,-3.926,1,0.0355,174.07,0.153,7
The Ghost of You,1yKAqZoi8xWGLCf5vajroL,0.0286,0.202,194253,0.886,0.0,11,0.643,-3.805,0,0.0816,145.781,0.192,8
The World Is Ugly,6VtcgrVYo2xfygcWAfRpd1,0.0047,0.447,294680,0.781,3.4e-05,11,0.0976,-4.801,0,0.0314,96.004,0.102,9
Another Life,0YZEYxd1oiqZRFhnnmTKKi,5.08e-05,0.39,205394,0.939,0.0,4,0.0968,-3.828,0,0.0787,161.997,0.495,10
Voices,0SnvI0twJ1Mnh0rJlBRrf0,4.54e-05,0.499,224000,0.937,6.11e-06,6,0.477,-2.492,1,0.0605,90.029,0.569,10
Somebody Told Me,1KF6uW84ksAUlTMy08gP1R,1.01e-05,0.486,199478,0.961,0.000232,10,0.121,-3.687,0,0.0776,138.029,0.65,9
Reincarnate,4vVUoi4U6ikqH2wIoE2fmG,0.000245,0.478,220040,0.992,0.000206,7,0.327,-3.165,1,0.211,109.969,0.117,8
Sign Of Life,73QoCfWJJWbRYmm5nCH5Y2,4.37e-05,0.507,220066,0.929,1.52e-05,0,0.397,-3.246,0,0.0756,101.05,0.429,7
